device_id,account_id,device_type,os,device_fingerprint,first_seen_date,last_seen_date,is_trusted_device,sim_change_detected,jailbroken_rooted
DEV000039,ACC000025,Android Phone,Android 14,0c446a07a99149cc,2025-12-10,2025-12-21,True,False,False
DEV000040,ACC000025,iPhone,iOS 18,101050cfd41c47a1,2024-06-11,2025-02-09,True,False,False
DEV000041,ACC000026,Tablet,Android 13,661da672a82e4004,2024-08-31,2024-12-23,True,False,False
DEV000042,ACC000027,Tablet,iPadOS 17,a10dec3bde084d34,2025-12-07,2025-12-21,True,False,False
DEV000043,ACC000027,Windows Laptop,Windows 11,8de9e7b5cf2f455f,2018-08-04,2020-04-04,True,False,False
DEV000044,ACC000028,MacBook,macOS Sequoia,56b38c0247f646c2,2025-08-31,2025-10-18,True,False,False
DEV000045,ACC000029,Windows Laptop,Windows 11,87e92aafab6c449c,2024-05-07,2025-11-20,True,False,False
DEV000046,ACC000029,MacBook,macOS Sequoia,64121ff7ee264a9e,2018-11-24,2025-02-17,True,False,False
DEV000047,ACC000030,iPhone,iOS 17,4d36680e15f0470b,2025-12-18,2025-12-29,True,False,False
DEV000048,ACC000031,Tablet,Android 13,e8e4322f47304c20,2024-10-05,2024-12-02,True,False,False
DEV000049,ACC000032,MacBook,macOS Sonoma,5b8542f5a8c14f94,2020-08-09,2025-12-20,True,False,False
DEV000050,ACC000033,iPhone,iOS 18,d164fb9111644f83,2016-05-21,2020-02-09,True,False,False
DEV000051,ACC000034,Android Phone,Android 14,f4b8adba6f8e4862,2025-01-17,2025-09-30,True,False,False
DEV000052,ACC000034,Android Phone,Android 15,7a6de76ca6bf4fd3,2020-12-28,2025-07-09,True,False,False
DEV000053,ACC000035,Android Phone,Android 15,f78b37e4d4c34134,2024-01-12,2025-02-27,True,False,False
DEV000054,ACC000035,Windows Laptop,Windows 10,def99bd72cf24f0c,2025-02-19,2025-06-10,True,False,False
DEV000055,ACC000036,iPhone,iOS 17,996b829524224679,2018-08-22,2019-06-18,True,False,False
DEV000056,ACC000036,iPhone,iOS 18,6e1b5cca582b4cb5,2020-02-01,2025-05-11,True,False,False
DEV000057,ACC000037,Windows Laptop,Windows 11,e902c95abe9b441d,2022-11-13,2023-03-15,True,False,False
DEV000058,ACC000037,MacBook,macOS Sonoma,2b099e85fecc4ae8,2023-05-25,2025-10-18,True,False,False
DEV000059,ACC000038,Windows Laptop,Windows 10,ce49f6a64f8d4bcd,2018-08-05,2024-02-27,True,False,False
DEV000060,ACC000039,MacBook,macOS Sequoia,5bf31733b01f4f11,2020-10-05,2023-12-21,True,False,False
DEV000061,ACC000040,Android Phone,Android 14,9c9e5edbfbbb4267,2018-08-04,2019-04-18,True,False,False
DEV000062,ACC000041,Windows Laptop,Windows 10,3516ba2d9abb4c8a,2022-06-11,2022-11-06,True,False,False
DEV000063,ACC000041,iPhone,iOS 18,e963d0fcf1984c79,2019-06-05,2025-04-25,True,False,False
DEV000064,ACC000042,Android Phone,Android 15,dc1f14eabe2e4dad,2021-04-13,2023-09-02,True,False,False
DEV000065,ACC000042,Tablet,iPadOS 17,f578e26da0204d6d,2020-12-06,2022-06-16,True,False,False
DEV000066,ACC000043,iPhone,iOS 18,e6bc3c977d294520,2025-07-02,2025-07-30,True,False,False
DEV000067,ACC000044,Windows Laptop,Windows 10,a36d2f05ff6e43fa,2019-09-01,2024-06-18,True,False,False
DEV000068,ACC000045,Tablet,Android 13,26542ec871584dde,2024-10-28,2025-08-22,True,False,False
DEV000069,ACC000045,Android Phone,Android 14,e384cbe2b88b4d95,2025-03-08,2025-12-23,True,False,False
DEV000070,ACC000046,Android Phone,Android 13,756b53f71bfa4142,2024-04-01,2024-09-29,True,False,False
DEV000071,ACC000047,Tablet,iPadOS 17,8c64870e16a345e8,2024-10-10,2025-08-14,True,False,False
DEV000072,ACC000047,Android Phone,Android 14,b250d8e303e848dc,2023-08-18,2024-10-15,True,False,False
DEV000073,ACC000048,iPhone,iOS 18,742b263e33694b74,2022-03-29,2024-08-05,True,False,False
DEV000074,ACC000048,MacBook,macOS Sequoia,9a7d377ea2d04350,2019-05-08,2025-02-16,True,False,False
DEV000075,ACC000049,Tablet,Android 13,dd74c486eb26443c,2023-03-15,2024-04-01,True,False,False
DEV000076,ACC000050,Windows Laptop,Windows 10,1ce902361ab04cd6,2021-06-07,2024-08-30,True,False,False
DEV000077,ACC000051,Windows Laptop,Windows 10,503f36d1ff4c4deb,2024-06-11,2024-09-02,True,False,False
DEV000078,ACC000051,Android Phone,Android 14,78fad66b6b8c4595,2024-03-21,2025-03-02,True,False,False
DEV000079,ACC000052,Android Phone,Android 13,fc9b1bb8ad6c42c3,2021-10-29,2022-03-14,True,False,False
DEV000080,ACC000052,MacBook,macOS Sequoia,6ea3b688b7ba4941,2024-07-08,2025-09-14,True,False,False
DEV000081,ACC000053,Android Phone,Android 15,05c431a431764433,2019-12-05,2022-12-09,True,False,False
DEV000082,ACC000054,Tablet,Android 13,d84724aeac1b44bc,2024-04-15,2025-02-09,True,False,False
DEV000083,ACC000055,MacBook,macOS Sonoma,5bb7807528704d41,2025-06-17,2025-07-20,True,False,False
DEV000084,ACC000055,Tablet,iPadOS 17,43cb5292383b4004,2024-07-13,2025-12-27,True,False,False
DEV000085,ACC000056,iPhone,iOS 18,252dc755cca342ea,2022-09-07,2023-12-19,True,False,False
DEV000086,ACC000057,iPhone,iOS 18,ad9d7121f20a47b4,2023-05-06,2024-01-21,True,False,False
DEV000087,ACC000057,Windows Laptop,Windows 11,64556744bf7e4335,2024-11-12,2025-07-02,True,False,False
DEV000088,ACC000058,Windows Laptop,Windows 11,a913040646844dd4,2020-08-07,2022-09-12,True,False,False
DEV000089,ACC000059,MacBook,macOS Sequoia,01acb9c4f3d4462b,2022-06-05,2023-01-01,True,False,False
DEV000090,ACC000060,MacBook,macOS Sequoia,75deecca4bf34bf2,2021-05-06,2024-07-29,True,False,False
DEV000091,ACC000061,Windows Laptop,Windows 10,cc58564038394327,2024-08-23,2025-11-28,True,False,False
DEV000092,ACC000061,Windows Laptop,Windows 11,0bb2718e3be9420f,2023-09-17,2024-07-25,True,False,False
DEV000093,ACC000062,iPhone,iOS 18,88d9f19be16d4e4c,2024-12-30,2025-05-03,True,False,False
DEV000094,ACC000062,MacBook,macOS Sonoma,ec8c7124c39c423e,2025-10-02,2025-12-17,True,False,False
DEV000095,ACC000063,MacBook,macOS Sequoia,7fa1e1df904d4e72,2021-12-09,2025-05-31,True,False,False
DEV000096,ACC000063,Windows Laptop,Windows 10,ac4581daa12e493b,2019-02-09,2023-11-27,True,False,False
DEV000097,ACC000064,Tablet,iPadOS 17,0db9850a4fd54c89,2017-10-07,2025-11-15,True,False,False
DEV000098,ACC000065,MacBook,macOS Sonoma,4e571fb489c948c9,2023-12-05,2025-09-10,True,False,False
DEV000099,ACC000066,MacBook,macOS Sequoia,b98b4b19e0614f2d,2018-04-02,2023-08-22,True,False,False
DEV000100,ACC000066,iPhone,iOS 17,659890e87b97477a,2020-03-08,2025-10-14,True,False,False
DEV000101,ACC000067,MacBook,macOS Sequoia,34d4f7b2b52143c4,2019-01-07,2022-11-03,True,False,False
DEV000102,ACC000067,Tablet,iPadOS 17,28aa0f07ca3c46a8,2021-10-19,2024-01-27,True,False,False
DEV000103,ACC000067,Tablet,Android 13,c4a6fc29a23f4ae8,2025-03-17 18:14:14,2025-03-17 18:56:41,False,True,True
DEV000104,ACC000068,iPhone,iOS 17,9710b6e3b8db4a1c,2025-09-15,2025-11-23,True,False,False
DEV000105,ACC000069,Tablet,iPadOS 17,81d966c88e174e65,2023-08-21,2025-01-17,True,False,False
DEV000106,ACC000070,Android Phone,Android 13,97fb0f4921ef4e16,2019-12-21,2022-03-04,True,False,False
DEV000107,ACC000071,MacBook,macOS Sequoia,9169416f73fb4ffa,2024-06-26,2025-04-26,True,False,False
DEV000108,ACC000072,Windows Laptop,Windows 10,3c19f9dee2a1493d,2021-05-15,2025-06-23,True,False,False
DEV000109,ACC000073,MacBook,macOS Sonoma,02841d758dba4978,2024-05-03,2024-08-01,True,False,False
DEV000110,ACC000073,Windows Laptop,Windows 11,f4ac5e153b70410f,2024-10-26,2025-07-19,True,False,False
DEV000111,ACC000074,Tablet,iPadOS 17,a66a5beb4e8e46e8,2023-04-04,2024-09-26,True,False,False
DEV000112,ACC000075,MacBook,macOS Sonoma,78486ae5d9a54a5d,2024-11-18,2025-07-24,True,False,False
DEV000113,ACC000076,Android Phone,Android 13,c2e5606809524e33,2025-05-11,2025-06-25,True,False,False
DEV000114,ACC000076,Windows Laptop,Windows 10,c1213aec32a045db,2024-09-01,2024-11-25,True,False,False
DEV000115,ACC000077,Tablet,Android 13,08cee83c1c2441fd,2020-04-02,2024-12-11,True,False,False
DEV000116,ACC000078,Tablet,Android 13,6388f49b808944e8,2025-04-08,2025-10-04,True,False,False
DEV000117,ACC000078,MacBook,macOS Sonoma,1f9b337aa0394099,2025-09-13,2025-10-18,True,False,False
DEV000118,ACC000079,MacBook,macOS Sonoma,15a1d1bcabad497c,2024-03-05,2025-09-29,True,False,False
DEV000119,ACC000079,MacBook,macOS Sequoia,a7575d2af37149a9,2025-05-16,2025-10-30,True,False,False
DEV000120,ACC000080,iPhone,iOS 17,2881ab12e9294b3c,2024-05-11,2024-12-14,True,False,False
DEV000121,ACC000081,Tablet,iPadOS 17,06be260496a440a5,2024-06-25,2025-04-05,True,False,False
DEV000122,ACC000082,MacBook,macOS Sequoia,beffb839bafd473e,2017-02-23,2021-08-11,True,False,False
DEV000123,ACC000083,Tablet,Android 13,0b916479aac84af3,2024-10-11,2025-08-12,True,False,False
DEV000124,ACC000083,Windows Laptop,Windows 10,e2559e3c26ba46fc,2024-08-15,2025-08-06,True,False,False
DEV000125,ACC000084,Tablet,Android 13,1a03a08623314465,2025-10-30,2025-11-07,True,False,False
DEV000126,ACC000084,Windows Laptop,Windows 11,86e64f9dc0774b01,2024-10-28,2025-05-01,True,False,False
DEV000127,ACC000085,iPhone,iOS 17,ea2ec14f5c204564,2022-01-05,2024-12-18,True,False,False
DEV000128,ACC000086,MacBook,macOS Sequoia,e8f556f8955c427a,2018-05-15,2023-04-05,True,False,False
DEV000129,ACC000086,MacBook,macOS Sonoma,b425f649a8df4252,2019-03-09,2023-04-29,True,False,False
DEV000130,ACC000087,MacBook,macOS Sonoma,fe60ae19005644aa,2025-01-01,2025-02-24,True,False,False
DEV000131,ACC000088,MacBook,macOS Sequoia,4a9efa4e2ff1469e,2025-01-28,2025-02-18,True,False,False
DEV000132,ACC000088,Android Phone,Android 13,a47c32219ab844cd,2023-12-06,2024-03-21,True,False,False
DEV000133,ACC000089,Tablet,iPadOS 17,25c2bef66b934523,2025-05-03,2025-11-11,True,False,False
DEV000134,ACC000089,MacBook,macOS Sequoia,3928d804a41645ea,2025-02-22,2025-11-25,True,False,False
DEV000135,ACC000090,iPhone,iOS 17,f5e60c1968434fee,2024-11-09,2024-12-03,True,False,False
DEV000136,ACC000090,Windows Laptop,Windows 10,4d129f5d8cd445b2,2024-10-01,2025-05-02,True,False,False
DEV000137,ACC000091,iPhone,iOS 18,3891adc9aec043d8,2025-05-06,2025-12-12,True,False,False
DEV000138,ACC000091,Tablet,Android 13,6ac10c2deabc4cb3,2025-07-28,2025-08-19,True,False,False
DEV000139,ACC000092,Tablet,Android 13,2be828e2809c4bef,2025-07-25,2025-11-08,True,False,False
DEV000140,ACC000092,MacBook,macOS Sequoia,b8592ab88f164d1b,2025-12-12,2025-12-17,True,False,False
DEV000141,ACC000093,iPhone,iOS 18,6f1129b942e64363,2023-10-15,2023-12-04,True,False,False
DEV000142,ACC000094,Windows Laptop,Windows 10,d26fcc43c7bf4295,2021-05-30,2025-02-22,True,False,False
DEV000143,ACC000094,iPhone,iOS 18,3de9e0d6b5a94600,2022-06-16,2025-11-26,True,False,False
DEV000144,ACC000095,iPhone,iOS 17,f0dc571e5ed04c49,2024-06-07,2024-09-23,True,False,False
DEV000145,ACC000095,iPhone,iOS 18,4c7d333f6c1e4619,2025-03-28,2025-04-20,True,False,False
DEV000146,ACC000095,Tablet,iPadOS 17,43faf981872b4343,2025-08-10 08:15:23,2025-08-10 10:24:58,False,True,False
DEV000147,ACC000096,Windows Laptop,Windows 10,9a9141b350f04499,2024-04-23,2024-11-17,True,False,False
DEV000148,ACC000096,iPhone,iOS 18,8a1d75ae5bf54c2e,2025-12-20,2025-12-29,True,False,False
DEV000149,ACC000097,Windows Laptop,Windows 10,dd26016f15c04234,2024-05-11,2025-11-06,True,False,False
DEV000150,ACC000098,iPhone,iOS 17,0d48114b23634307,2025-12-13,2025-12-21,True,False,False
DEV000151,ACC000099,MacBook,macOS Sequoia,3fdb3b4bf8ab4d7a,2021-06-29,2023-10-12,True,False,False
DEV000152,ACC000099,MacBook,macOS Sonoma,cac6c0e79ab9486f,2024-02-17,2024-04-15,True,False,False
DEV000153,ACC000100,Tablet,iPadOS 17,712c569a03e7413c,2023-12-30,2024-08-02,True,False,False
DEV000154,ACC000100,MacBook,macOS Sequoia,0a52bf177b474b33,2025-09-13,2025-12-17,True,False,False
DEV000155,ACC000101,Android Phone,Android 15,bccb1bce40e94c01,2025-04-04,2025-12-07,True,False,False
DEV000156,ACC000102,Android Phone,Android 13,cc617dacb3d14864,2025-11-28,2025-12-17,True,False,False
DEV000157,ACC000102,MacBook,macOS Sequoia,ce1c6e4033c0402a,2024-07-15,2025-08-03,True,False,False
DEV000158,ACC000103,Windows Laptop,Windows 10,1d22b08774df4a5c,2024-09-03,2025-11-02,True,False,False
DEV000159,ACC000103,Tablet,Android 13,3086bb69b55f41a5,2025-04-20,2025-09-01,True,False,False
DEV000160,ACC000103,Android Phone,Android 13,227c2b8c0bcc4325,2025-05-25 08:00:48,2025-05-25 10:06:04,False,True,True
DEV000161,ACC000104,MacBook,macOS Sequoia,9fc66a7a5de441d4,2022-11-09,2022-11-10,True,False,False
DEV000162,ACC000105,iPhone,iOS 18,45e5499a84244013,2025-02-02,2025-10-13,True,False,False
DEV000163,ACC000106,Windows Laptop,Windows 11,fefb273a740b4563,2023-03-03,2025-12-14,True,False,False
DEV000164,ACC000107,Android Phone,Android 13,47853418e9674be6,2023-05-05,2024-01-17,True,False,False
DEV000165,ACC000107,MacBook,macOS Sonoma,31685c3ec41f4375,2024-06-02,2025-01-26,True,False,False
DEV000166,ACC000108,Android Phone,Android 13,dda00fcb72f04c0f,2017-10-13,2017-10-16,True,False,False
DEV000167,ACC000108,MacBook,macOS Sonoma,8d3623dac13746e1,2017-06-28,2019-09-30,True,False,False
DEV000168,ACC000109,Android Phone,Android 13,1296e5ee634b4b04,2016-11-05,2022-09-09,True,False,False
DEV000169,ACC000109,MacBook,macOS Sonoma,cb5c95680e03468f,2018-12-16,2023-01-08,True,False,False
DEV000170,ACC000110,MacBook,macOS Sonoma,c168f9b3e4d94940,2022-09-15,2025-10-24,True,False,False
DEV000171,ACC000111,Windows Laptop,Windows 11,5b98b8538f2c4309,2022-03-22,2025-12-20,True,False,False
DEV000172,ACC000112,MacBook,macOS Sonoma,ecab00cf5c604b18,2023-06-24,2024-02-01,True,False,False
DEV000173,ACC000113,Tablet,iPadOS 17,c95ceeb4a62041e3,2024-12-24,2025-02-26,True,False,False
DEV000174,ACC000114,iPhone,iOS 18,3526bb592e2d4a22,2025-01-18,2025-06-27,True,False,False
DEV000175,ACC000114,iPhone,iOS 17,a93e7ea9a0b04f8d,2024-11-29,2025-02-15,True,False,False
DEV000176,ACC000115,Tablet,iPadOS 17,7b505aacf6e84a5d,2022-05-14,2023-11-11,True,False,False
DEV000177,ACC000115,Windows Laptop,Windows 10,1db38e25edc546c4,2025-05-02 08:00:08,2025-05-02 10:06:10,False,True,True
DEV000178,ACC000116,Tablet,iPadOS 17,b787366a29df4af5,2023-05-07,2025-11-24,True,False,False
DEV000179,ACC000117,Windows Laptop,Windows 10,bd7757e7e0d64fdf,2019-01-23,2023-06-20,True,False,False
DEV000180,ACC000118,Windows Laptop,Windows 10,228e9a087d634351,2025-07-19,2025-07-30,True,False,False
DEV000181,ACC000118,MacBook,macOS Sonoma,b85345d2de5e4e50,2024-12-29,2025-02-11,True,False,False
DEV000182,ACC000119,Tablet,Android 13,8783be2c5b924714,2021-05-13,2025-11-09,True,False,False
DEV000183,ACC000119,Windows Laptop,Windows 11,b793ec0b99084f59,2023-06-15,2024-01-06,True,False,False
DEV000184,ACC000120,Windows Laptop,Windows 11,87679ca223124893,2025-08-23,2025-09-25,True,False,False
DEV000185,ACC000120,Android Phone,Android 13,3bdaddee5f314477,2024-07-07,2025-10-07,True,False,False
DEV000186,ACC000121,Windows Laptop,Windows 10,94e917d5f5a740d1,2021-04-18,2021-08-20,True,False,False
DEV000187,ACC000122,Tablet,iPadOS 17,5c10beaf12a94033,2025-02-27,2025-10-29,True,False,False
DEV000188,ACC000122,MacBook,macOS Sonoma,9434216ef9174f07,2025-05-28,2025-06-29,True,False,False
DEV000189,ACC000123,Android Phone,Android 15,9d61d131e0a84c40,2021-01-15,2021-09-18,True,False,False
DEV000190,ACC000123,iPhone,iOS 18,df25f14e0ad04811,2018-05-31,2022-12-22,True,False,False
DEV000191,ACC000124,Tablet,iPadOS 17,75a9b3e2ee644edd,2021-11-15,2023-03-12,True,False,False
DEV000192,ACC000124,iPhone,iOS 17,9c6bd5e20e7f4233,2021-10-20,2022-11-04,True,False,False
DEV000193,ACC000125,Android Phone,Android 15,1d86c137e4254200,2025-04-02,2025-11-26,True,False,False
DEV000194,ACC000125,Android Phone,Android 13,0a66ac67621f436f,2024-08-21,2025-01-04,True,False,False
DEV000195,ACC000126,iPhone,iOS 17,fc2154d620a94923,2024-12-25,2024-12-29,True,False,False
DEV000196,ACC000127,Windows Laptop,Windows 11,ee54c94bf0914ede,2022-09-04,2024-11-16,True,False,False
DEV000197,ACC000127,iPhone,iOS 18,293c614f43074e64,2021-05-23,2022-06-21,True,False,False
DEV000198,ACC000128,Android Phone,Android 14,49ceb77792734da6,2023-07-10,2025-05-07,True,False,False
DEV000199,ACC000129,Windows Laptop,Windows 10,00a3cd614df64a59,2025-01-08,2025-08-20,True,False,False
DEV000200,ACC000130,MacBook,macOS Sonoma,79615bd95ed44040,2022-04-24,2023-11-05,True,False,False
DEV000201,ACC000130,MacBook,macOS Sonoma,c86caa15fb9a4848,2025-04-11,2025-11-18,True,False,False
DEV000202,ACC000131,iPhone,iOS 17,1fbef81c0c4c405b,2020-02-18,2021-01-03,True,False,False
DEV000203,ACC000131,iPhone,iOS 17,2ef09bf8499c48d4,2024-04-06,2025-05-06,True,False,False
DEV000204,ACC000132,Android Phone,Android 14,9ad48f1b5f5e4560,2023-03-28,2023-06-08,True,False,False
DEV000205,ACC000133,MacBook,macOS Sonoma,ac93e6c63c6d4c16,2018-01-30,2019-08-09,True,False,False
DEV000206,ACC000133,Tablet,iPadOS 17,18bd25c2f8b24b60,2022-08-30,2023-08-14,True,False,False
DEV000207,ACC000134,MacBook,macOS Sonoma,b6e508ef7fca4a3c,2021-10-26,2022-12-21,True,False,False
DEV000208,ACC000135,Android Phone,Android 13,8e95e271bd404f9e,2025-09-30,2025-12-05,True,False,False
DEV000209,ACC000135,iPhone,iOS 17,dd7f1603226448bb,2023-05-18,2025-07-27,True,False,False
DEV000210,ACC000136,Android Phone,Android 14,257bd3f4afc34829,2025-05-14,2025-08-31,True,False,False
DEV000211,ACC000136,Windows Laptop,Windows 11,d57bedf625a94a57,2024-07-24,2025-09-26,True,False,False
DEV000212,ACC000137,Windows Laptop,Windows 11,e7d4678c1b74412e,2020-01-11,2022-07-05,True,False,False
DEV000213,ACC000138,MacBook,macOS Sequoia,2ce64fd435c44487,2022-09-19,2025-03-26,True,False,False
DEV000214,ACC000139,Tablet,Android 13,12f82fbb846a4d32,2025-01-28,2025-03-27,True,False,False
DEV000215,ACC000140,Android Phone,Android 14,dad2abf27f024da9,2022-04-18,2024-08-07,True,False,False
DEV000216,ACC000140,Android Phone,Android 15,8c9c832d93614fda,2023-03-01,2023-03-04,True,False,False
DEV000217,ACC000141,Windows Laptop,Windows 10,00426e999d7d42a9,2024-09-06,2025-02-13,True,False,False
DEV000218,ACC000141,MacBook,macOS Sonoma,eb40e884f52a4316,2025-07-05,2025-07-16,True,False,False
DEV000219,ACC000142,Android Phone,Android 15,5d1dfe03a9374b0f,2024-07-25,2025-01-20,True,False,False
DEV000220,ACC000142,MacBook,macOS Sequoia,c88393dc7ce9402e,2025-12-17,2025-12-26,True,False,False
DEV000221,ACC000143,Tablet,Android 13,1fd8947d05614e9d,2018-11-24,2023-03-14,True,False,False
DEV000222,ACC000144,Android Phone,Android 14,e64be714ecf44df9,2023-09-10,2023-12-16,True,False,False
DEV000223,ACC000144,iPhone,iOS 18,29d79c35400d4c34,2020-09-02,2023-02-25,True,False,False
DEV000224,ACC000145,MacBook,macOS Sequoia,5e25f70aaf124b69,2021-06-11,2024-02-24,True,False,False
DEV000225,ACC000145,Windows Laptop,Windows 10,b2a9e478270b48d1,2019-11-13,2020-07-02,True,False,False
DEV000226,ACC000146,Tablet,Android 13,d6e80c93ffeb4735,2022-12-25,2023-08-23,True,False,False
DEV000227,ACC000147,MacBook,macOS Sequoia,c2cf278400ab4126,2024-03-17,2024-11-16,True,False,False
DEV000228,ACC000148,Tablet,iPadOS 17,b0f8b18c416549fd,2022-12-21,2023-11-08,True,False,False
DEV000229,ACC000149,MacBook,macOS Sonoma,936ded8405d346cc,2023-04-12,2023-10-15,True,False,False
DEV000230,ACC000149,iPhone,iOS 17,59d82284936d49fa,2023-08-12,2023-10-13,True,False,False
DEV000231,ACC000150,iPhone,iOS 17,ccd73340531b42fd,2024-12-11,2025-09-14,True,False,False
DEV000232,ACC000150,Windows Laptop,Windows 10,8b335cd5bce3469b,2025-08-05,2025-11-13,True,False,False
DEV000233,ACC000151,Windows Laptop,Windows 11,9d548b71c069470d,2023-07-26,2023-09-12,True,False,False
DEV000234,ACC000151,MacBook,macOS Sonoma,d86abff3a4584dd8,2025-03-10,2025-12-26,True,False,False
DEV000235,ACC000152,MacBook,macOS Sonoma,693edb65e8af400a,2024-02-17,2025-11-02,True,False,False
DEV000236,ACC000153,Android Phone,Android 13,5f04da26f2e64f46,2017-12-27,2025-01-19,True,False,False
DEV000237,ACC000154,iPhone,iOS 17,7959e35eb84b4017,2022-10-05,2024-05-05,True,False,False
DEV000238,ACC000155,Android Phone,Android 13,ce6dfa7cd2154f44,2024-11-25,2025-01-15,True,False,False
DEV000239,ACC000155,MacBook,macOS Sequoia,74bd81c1585445bd,2025-02-17,2025-03-24,True,False,False
DEV000240,ACC000156,Android Phone,Android 13,95ab4c612ffa40f1,2024-12-08,2024-12-27,True,False,False
DEV000241,ACC000157,MacBook,macOS Sequoia,000bfc572f6e4c18,2024-10-18,2024-11-10,True,False,False
DEV000242,ACC000157,MacBook,macOS Sonoma,b9eea72f798a4ba7,2023-06-04,2024-12-05,True,False,False
DEV000243,ACC000158,Windows Laptop,Windows 10,63e038f5b5c944a5,2023-12-03,2024-11-13,True,False,False
DEV000244,ACC000159,Tablet,iPadOS 17,03a82f209fd040b5,2025-09-21,2025-11-08,True,False,False
DEV000245,ACC000160,MacBook,macOS Sonoma,217104be9ea34ccd,2025-06-11,2025-12-14,True,False,False
DEV000246,ACC000160,Android Phone,Android 13,e191b89002b449d1,2020-04-25,2023-07-29,True,False,False
