alert_id,account_id,transaction_id,alert_type,triggering_rule,alert_score,created_at,linked_case_id
ALRT000071,ACC000002,TXN001458,smurfing,high_velocity_fan_in,69,2025-04-13 10:54:10,CASE000014
ALRT000072,ACC000002,TXN001459,smurfing,high_velocity_fan_in,74,2025-12-05 23:26:47,CASE000014
ALRT000073,ACC000115,TXN001595,account_swap,sim_swap_detected,90,2025-04-13 02:25:01,CASE000015
ALRT000074,ACC000183,TXN001583,money_mule,unrelated_sender_concentration,65,2025-11-19 19:17:04,CASE000016
ALRT000075,ACC000183,TXN001584,money_mule,unrelated_sender_concentration,74,2025-08-02 05:50:08,CASE000016
ALRT000076,ACC000183,TXN001585,money_mule,unrelated_sender_concentration,63,2025-08-25 10:01:48,CASE000016
ALRT000077,ACC000183,TXN001586,money_mule,unrelated_sender_concentration,71,2025-05-25 23:39:59,CASE000016
ALRT000078,ACC000183,TXN001587,money_mule,unrelated_sender_concentration,60,2025-04-05 22:59:29,CASE000016
ALRT000079,ACC000183,TXN001588,money_mule,unrelated_sender_concentration,80,2025-09-13 09:04:45,CASE000016
ALRT000080,ACC000006,TXN001591,account_swap,untrusted_device_high_value_txn,74,2025-06-03 07:05:38,CASE000017
ALRT000081,ACC000160,TXN001596,account_swap,geo_impossible_travel,73,2025-03-28 12:48:20,CASE000018
ALRT000082,ACC000115,TXN001444,smurfing,structuring_below_threshold,79,2025-07-24 17:13:55,CASE000019
ALRT000083,ACC000115,TXN001445,smurfing,high_velocity_fan_in,82,2025-08-11 03:32:36,CASE000019
ALRT000084,ACC000115,TXN001446,smurfing,structuring_below_threshold,74,2025-05-01 20:56:40,CASE000019
ALRT000085,ACC000115,TXN001447,smurfing,high_velocity_fan_in,82,2025-02-09 11:03:00,CASE000019
ALRT000086,ACC000115,TXN001448,smurfing,high_velocity_fan_in,78,2025-11-30 00:00:04,CASE000019
ALRT000087,ACC000115,TXN001449,smurfing,structuring_below_threshold,63,2025-10-24 22:56:12,CASE000019
ALRT000088,ACC000095,TXN001593,account_swap,geo_impossible_travel,95,2025-10-14 01:17:24,CASE000020
ALRT000089,ACC000152,TXN001562,money_mule,unrelated_sender_concentration,69,2025-09-02 15:20:22,CASE000021
ALRT000090,ACC000152,TXN001563,money_mule,pass_through_velocity,74,2025-06-14 22:35:51,CASE000021
ALRT000091,ACC000152,TXN001564,money_mule,unrelated_sender_concentration,78,2025-09-09 07:02:18,CASE000021
ALRT000092,ACC000152,TXN001565,money_mule,unrelated_sender_concentration,59,2025-06-26 02:01:15,CASE000021
ALRT000093,ACC000152,TXN001566,money_mule,pass_through_velocity,81,2025-05-25 03:10:31,CASE000021
ALRT000094,ACC000205,TXN001491,reverse_smurfing,structuring_fan_out,57,2025-05-25 15:16:32,CASE000022
ALRT000095,ACC000205,TXN001492,reverse_smurfing,rapid_dispersal,77,2025-10-23 07:58:17,CASE000022
ALRT000096,ACC000205,TXN001493,reverse_smurfing,structuring_fan_out,79,2025-05-06 09:04:06,CASE000022
ALRT000097,ACC000205,TXN001494,reverse_smurfing,structuring_fan_out,69,2025-10-09 12:50:21,CASE000022
ALRT000098,ACC000205,TXN001495,reverse_smurfing,structuring_fan_out,77,2025-02-22 18:53:33,CASE000022
ALRT000099,ACC000205,TXN001496,reverse_smurfing,rapid_dispersal,70,2025-02-25 20:48:53,CASE000022
ALRT000100,ACC000202,TXN001598,account_swap,sim_swap_detected,87,2025-04-18 13:23:17,CASE000023
ALRT000101,ACC000061,TXN001539,reverse_smurfing,structuring_fan_out,55,2025-03-16 19:35:36,CASE000024
ALRT000102,ACC000061,TXN001540,reverse_smurfing,structuring_fan_out,59,2025-12-06 06:31:20,CASE000024
ALRT000103,ACC000061,TXN001541,reverse_smurfing,structuring_fan_out,55,2025-12-17 02:51:19,CASE000024
ALRT000104,ACC000061,TXN001542,reverse_smurfing,structuring_fan_out,78,2025-10-21 11:44:32,CASE000024
ALRT000105,ACC000061,TXN001543,reverse_smurfing,rapid_dispersal,76,2025-05-16 05:52:20,CASE000024
ALRT000106,ACC000061,TXN001544,reverse_smurfing,structuring_fan_out,67,2025-12-15 07:59:13,CASE000024
ALRT000107,ACC000176,TXN001597,account_swap,sim_swap_detected,88,2025-12-27 18:19:41,CASE000025
ALRT000108,ACC000193,TXN001240,behavioral_deviation,new_channel_used,35,2025-11-09 02:08:02,CASE000026
ALRT000109,ACC000131,TXN001516,behavioral_deviation,off_hours_txn,22,2025-10-29 19:25:03,CASE000027
ALRT000110,ACC000061,TXN000424,behavioral_deviation,new_channel_used,20,2025-12-28 19:33:00,CASE000028
ALRT000111,ACC000105,TXN000688,behavioral_deviation,off_hours_txn,41,2025-05-10 07:56:40,CASE000029
ALRT000112,ACC000193,TXN001243,behavioral_deviation,new_channel_used,33,2025-09-21 18:45:24,CASE000030
ALRT000113,ACC000041,TXN000273,behavioral_deviation,amount_above_avg,37,2025-06-24 21:02:45,CASE000031
ALRT000114,ACC000132,TXN000859,behavioral_deviation,new_channel_used,38,2025-11-05 18:04:30,CASE000032
ALRT000115,ACC000015,TXN000107,behavioral_deviation,amount_above_avg,26,2025-03-29 12:49:23,CASE000033
ALRT000116,ACC000080,TXN000536,behavioral_deviation,off_hours_txn,31,2025-11-24 13:14:48,CASE000034
ALRT000117,ACC000028,TXN000192,behavioral_deviation,off_hours_txn,26,2025-06-26 07:48:02,CASE000035
ALRT000118,ACC000015,TXN000103,behavioral_deviation,off_hours_txn,20,2025-03-03 01:50:32,CASE000036
ALRT000119,ACC000033,TXN000222,behavioral_deviation,new_channel_used,29,2025-07-03 01:05:09,CASE000037
ALRT000120,ACC000033,TXN000225,behavioral_deviation,new_channel_used,31,2025-12-03 16:08:48,CASE000038
ALRT000121,ACC000168,TXN001087,behavioral_deviation,off_hours_txn,42,2025-11-03 03:31:40,
ALRT000122,ACC000204,TXN001316,behavioral_deviation,amount_above_avg,37,2025-02-19 22:43:59,
ALRT000123,ACC000064,TXN000444,behavioral_deviation,off_hours_txn,43,2025-08-17 21:32:48,
ALRT000124,ACC000183,TXN001182,behavioral_deviation,off_hours_txn,44,2025-11-10 19:48:39,
ALRT000125,ACC000219,TXN001506,behavioral_deviation,amount_above_avg,29,2025-05-11 03:23:25,
